word	x	y	nearest
participate	62.93156208607132	75.49087829866082	0.947
bail	7.450534472142906	42.600308995302285	0.955
enjoyed	38.15749006095303	-38.738874099702784	0.927
touches	32.36217482258714	24.54411487969167	0.970
busy	-49.38531558843099	-7.872261291210405	0.969
just	-61.58505761650067	-50.16999284905827	0.703
headline	-19.672256108276876	86.06451762289302	0.978
elite	23.333353867932033	-60.89191041777129	0.985
explain	-71.85409317209013	-10.84607612400141	0.942
unemployment	-2.80409234784251	-87.70757037497282	0.961
bust	-8.547836324110756	74.5189084556164	0.983
rico	7.490703446085465	-66.08294124744558	0.995
theme	82.36803946402785	54.032720693925434	0.962
masterbaxter	83.35793214463459	-28.076374638240132	0.900
screening	27.37642836031674	56.71887815563912	0.987
rich	-34.43809980540158	-36.92349555481404	0.897
foolishly	28.968449611953336	83.49451694049347	0.972
announce	-98.31852912268042	-28.77237196797183	0.921
falsely	-52.91866965837473	43.15267500687048	0.979
bahrain	78.79302061499376	22.382301526514787	0.980
do	-88.02803975184153	-56.329820614027625	0.898
dj	23.694739293554235	50.4719364792818	0.977
conduct	70.0956388749898	18.033485379193163	0.953
stop	-92.12587850935209	-44.08368328109743	0.913
unfair	-39.801719330283106	-51.30096887009326	0.961
criticized	-35.774117836966546	14.391702523107227	0.983
shutting	70.72671531179176	-4.926011841610211	0.937
clock	21.807751912074455	-17.575521407990767	0.988
wedding	13.880155379343224	-12.726890305036813	0.984
report	-35.003342959030974	-63.59668696002186	0.934
nasty	-28.203167763864283	-53.00808273341888	0.982
dr	-13.81113135093749	17.329860997523483	0.984
learned	-72.46470725627125	23.659976167484093	0.949
unfortunately	-49.63838400056983	50.79599561442294	0.987
deny	-3.7945544234999606	34.013472716656885	0.957
runs	-88.75026814052195	-14.566411819555968	0.931
increasing	-3.1775492763676225	74.97692334073787	0.979
bar	2.332973246088634	2.121107633305495	0.982
countries	-38.800913997051794	-88.341652564192	0.941
nicely	30.760232651652057	32.267284890596294	0.954
officially	13.752567451545627	-14.667418130817373	0.979
collusion	-42.8009847615726	-69.1147351598972	0.931
dupont	33.21408705099507	56.150911699116165	0.984
guns	-31.635012056341722	-29.403933727375552	0.975
twice	-59.57220008986991	9.605324551772272	0.976
bad	-47.81931100767952	-66.5130563950491	0.862
briefed	70.41212667595958	-27.78080964406965	0.841
architecture	35.73936851221479	73.072442590761	0.982
release	-20.373845927457502	-59.94895005720407	0.947
thanks	-42.12753783579835	-35.38723015663038	0.858
headed	-34.35080343256227	21.657348526533585	0.972
blew	-72.44113704608212	5.790199825306236	0.958
disaster	-32.250591181121536	-72.17392312924815	0.915
swept	102.54362010882146	1.347119295830793	0.947
habit	39.37733543227425	4.092782076723165	0.971
branding	100.71172679161982	-11.211020104268206	0.950
testing	-37.72105311771229	64.67972822493624	0.980
resist	64.92350733220337	-8.179211904112664	0.962
wollman	11.31448553008267	91.53884304428038	0.964
